JUAN ANDRES,7792,39.8
ANTONIO JAVIER,7725,34.0
JOSE DANIEL,7718,31.3
ERIK,7702,11.1
OLIVER,7697,20.7
CLEMENTE,7667,57.7
JUAN DIEGO,7659,29.3
LUIS JAVIER,7651,39.4
FELICIANO,7641,61.7
GASPAR,7633,54.0
JORGE LUIS,7580,36.6
LUIS CARLOS,7533,40.3
BASILIO,7529,57.8
HILARIO,7404,60.2
JAN,7404,14.3
PEDRO JESUS,7382,36.0
CAYETANO,7344,48.9
RAIMUNDO,7337,57.2
MARIAN,7295,35.2
NICOLAE,7272,38.8
JUAN ANGEL,7189,42.9
EVARISTO,7127,58.9
ANGEL MANUEL,6967,38.4
JOSUE,6958,21.7
NESTOR,6957,26.7
FABIAN,6828,34.9
MARCIAL,6790,56.5
BENIGNO,6787,62.0
FLORIN,6776,31.8
KHALID,6736,30.9
ELISEO,6721,57.9
LAUREANO,6706,58.7
MARCELO,6695,47.7
FRANCESC XAVIER,6659,40.9
MANEL,6622,32.2
SEGUNDO,6616,63.1
NARCISO,6585,58.7
IMANOL,6555,24.7
RICARD,6547,33.0
CECILIO,6495,58.6
ABDELKADER,6479,40.8
BERNARDINO,6440,59.1
MUHAMMAD,6349,33.0
ABDELLAH,6305,36.4
PATRICIO,6271,50.0
JUAN ALBERTO,6207,35.9
VALERIANO,6199,60.5
DEMETRIO,6156,60.8
ANDONI,6146,25.2
ANGEL MARIA,6124,48.1
JESUS ANTONIO,6117,44.3
LEOPOLDO,6098,54.9
MICHAEL,5978,35.7
CESAREO,5960,60.3
JOSEBA,5919,28.7
FERNANDO JOSE,5888,37.1
JOSU,5874,26.7
LUIS ENRIQUE,5860,37.1
ROBERTO CARLOS,5854,29.6
ANASTASIO,5842,64.0
CAMILO,5803,53.0
CIPRIANO,5741,62.0
MAURICIO,5695,43.9
LUCIO,5686,61.7
PEDRO PABLO,5666,40.4
HICHAM,5630,27.0
MARCEL,5555,29.4
ARITZ,5546,17.7
ABDELAZIZ,5499,37.1
ANTONIO FRANCISCO,5462,40.3
FRANCISCO LUIS,5462,42.5
MIHAI,5440,36.4
BRAHIM,5421,32.9
BIENVENIDO,5392,57.6
RODOLFO,5382,51.3
ANSELMO,5373,58.6
TEOFILO,5349,64.0
OCTAVIO,5320,49.4
IAGO,5313,13.9
EULOGIO,5309,60.9
STEFAN,5301,37.5
BALTASAR,5298,56.1
YAGO,5283,11.6
CASIMIRO,5256,62.5
AMADEO,5245,57.7
MAURO,5199,24.9
BERNABE,5193,52.4
IBAI,5185,12.1
PLACIDO,5158,58.7
ALEXANDRU,5080,32.3
PEDRO MIGUEL,5076,39.6
PEDRO JAVIER,5069,33.8
BERNAT,5044,19.8
LAZARO,5039,53.2
BRIAN,5032,23.0
CELSO,4961,56.9
FULGENCIO,4938,57.2
IAN,4911,13.8
BRAIS,4880,11.0
NIL,4878,8.1
MARIUS,4873,30.7
BALDOMERO,4867,58.2
HERMINIO,4856,60.4
JOSE FELIX,4829,44.9
MAXIMINO,4827,61.1
JOSE PEDRO,4824,43.2
CARLOS JOSE,4788,37.4
ROQUE,4780,51.0
HAMID,4761,35.0
ABDERRAHIM,4707,32.9
DUMITRU,4679,41.2
PAUL,4679,33.8
JOSE GABRIEL,4660,38.0
BIEL,4632,4.6
JESUS MIGUEL,4583,38.8
AQUILINO,4580,59.7
BONIFACIO,4577,63.0
MANUEL FRANCISCO,4559,44.0
FRANCISCO BORJA,4553,30.4
GUMERSINDO,4550,61.9
LUIS FRANCISCO,4548,39.7
ABDESLAM,4526,43.6
MANUEL ALEJANDRO,4505,25.9
FABIO,4503,23.8
ANTON,4500,26.2
BILAL,4498,12.3
JOSE RAFAEL,4489,43.5
VICTORINO,4486,64.5
OIER,4440,10.1
ALAN,4397,24.9
IONEL,4382,37.4
HIPOLITO,4373,61.1
JOSE DOMINGO,4373,44.3
HAMZA,4348,12.9
ELEUTERIO,4339,63.3
MARINO,4338,57.0
VIDAL,4334,56.2
JUAN ENRIQUE,4310,41.3
DIDAC,4305,15.2
IGNASI,4284,30.3
NORBERTO,4277,49.2
FRANCISCO ASIS,4210,39.9
AIMAR,4209,6.6
MELCHOR,4209,56.0
DRISS,4199,38.4
ARSENIO,4196,61.0
ROSENDO,4186,57.7
KARIM,4175,25.2
JESUS JAVIER,4162,38.9
ORLANDO,4159,43.1
JUAN DAVID,4156,20.7
VIRGILIO,4133,59.3
HIGINIO,4114,60.6
JORGE JUAN,4113,38.6
ADAN,4093,19.3
AYOUB,4067,9.4
LUIS ALFONSO,4062,39.7
MARKEL,4061,8.3
ALBERTO JOSE,4042,34.7
SEVERINO,4002,63.0
VICENTE JOSE,3996,42.4
URBANO,3980,62.1
PABLO JOSE,3970,30.5
MAMADOU,3964,32.8
PETER,3960,53.0
JAMAL,3948,31.5
VICTOR JOSE,3926,33.2
CARLOS ENRIQUE,3915,40.3
JUAN FERNANDO,3890,40.7
AUGUSTO,3889,52.9
ANIBAL,3868,41.9
JOSE PABLO,3861,36.8
JUAN GABRIEL,3855,31.5
CEFERINO,3854,61.2
NOEL,3844,20.4
VENANCIO,3842,61.9
VIOREL,3832,39.4
ANTONIO MARIA,3825,48.2
PELAYO,3791,20.8
ALAIN,3771,22.1
INOCENCIO,3769,63.0
JOSE ALEJANDRO,3768,31.2
BAUTISTA,3762,65.1
JOSE TOMAS,3760,43.6
JOHN,3759,52.8
AZIZ,3753,31.8
JOSE JESUS,3704,44.9
ABELARDO,3698,56.0
MAXIMILIANO,3693,49.7
MARCOS ANTONIO,3667,34.8
CARLOS ANTONIO,3638,38.3
PRIMITIVO,3636,64.6
GUSTAVO ADOLFO,3604,36.1
JOSE ALFONSO,3564,44.1
JOSE EMILIO,3564,45.5
VICENT,3562,27.1
IBRAHIM,3530,18.9
DENIS,3525,16.6
IBON,3512,25.2
ISAIAS,3483,45.5
JOSE EDUARDO,3467,41.5
GENARO,3463,58.5
MARIA CARMEN,681108,51.1
MARIA,668112,49.3
CARMEN,447130,59.5
JOSEFA,325874,64.1
ISABEL,296241,54.2
ANA MARIA,281533,45.4
MARIA DOLORES,273002,51.1
MARIA PILAR,271733,51.2
MARIA TERESA,263124,51.3
ANA,261346,41.9
LAURA,248233,23.3
FRANCISCA,246861,60.9
ANTONIA,239751,60.8
DOLORES,236302,63.4
MARIA ANGELES,234432,49.6
CRISTINA,231232,28.0
MARTA,214500,24.4
MARIA JOSE,207548,39.6
MARIA ISABEL,207464,46.3
PILAR,174329,59.9
MARIA LUISA,174308,55.8
LUCIA,171879,22.5
CONCEPCION,170264,61.5
ELENA,158990,34.5
MERCEDES,158309,56.9
MANUELA,157945,58.5
ROSA MARIA,149558,45.5
RAQUEL,148548,29.9
SARA,148532,21.6
MARIA JESUS,145275,49.4
PAULA,141508,17.6
JUANA,140755,62.1
TERESA,140316,59.7
ROSARIO,140117,59.8
ENCARNACION,127327,59.0
BEATRIZ,125794,31.5
ROSA,122403,61.5
NURIA,120127,33.0
SILVIA,119620,30.0
MONTSERRAT,116853,48.8
JULIA,113804,45.2
PATRICIA,112909,25.6
IRENE,105473,24.3
MONICA,104073,31.3
ANDREA,102224,18.1
ROCIO,101163,24.5
ANGELA,100497,44.6
MARIA MAR,100228,36.7
MARGARITA,99877,55.4
SONIA,98578,30.7
SANDRA,97425,23.1
SUSANA,97249,35.6
ALICIA,96435,35.5
YOLANDA,94014,35.9
ALBA,93995,12.6
MARIA JOSEFA,93760,57.2
MARINA,92140,30.8
NATALIA,87259,23.4
MARIA ROSARIO,83246,53.0
INMACULADA,81999,37.5
ANGELES,80478,61.9
ESTHER,78890,36.1
MARIA MERCEDES,77338,49.0
ANA ISABEL,76535,36.4
EVA,76293,28.5
VERONICA,72035,27.1
AMPARO,71119,60.8
NOELIA,71064,21.9
MARIA ROSA,66784,55.3
MARIA VICTORIA,64998,46.6
MARIA CONCEPCION,63935,56.5
CAROLINA,63523,28.8
CLAUDIA,63319,13.8
EVA MARIA,62835,34.5
CATALINA,62521,58.4
CONSUELO,62334,63.0
VICTORIA,61441,49.0
LORENA,61325,21.7
ANA BELEN,60841,30.9
MARIA ANTONIA,60529,54.4
MARIA ELENA,60020,43.1
MIRIAM,58513,21.1
EMILIA,57398,62.5
NEREA,57392,13.5
LUISA,56817,63.0
INES,56587,37.7
MARIA NIEVES,54352,50.8
GLORIA,53058,50.3
LIDIA,53019,29.2
CARLA,52460,9.7
AURORA,51876,56.7
ESPERANZA,51320,56.5
JOSEFINA,51192,63.2
SOFIA,50701,22.3
MILAGROS,50409,58.6
OLGA,49812,39.6
CELIA,48131,33.9
MARIA SOLEDAD,47952,49.5
PURIFICACION,47225,60.6
MARIA CRISTINA,46501,42.8
VIRGINIA,45863,35.3
MARIA LUZ,45802,52.7
FATIMA,44068,31.6
LOURDES,43882,42.0
VANESA,42430,26.7
ALEJANDRA,41830,24.1
CLARA,41585,28.7
ANNA,41402,26.7
MAGDALENA,41229,58.3
BEGOÑA,40876,42.2
VICENTA,40375,67.3
ASUNCION,40176,63.0
MATILDE,39470,62.6
ISABEL MARIA,38680,36.1
MARIA BELEN,38520,39.5
ELISA,38510,48.4
ESTEFANIA,38500,25.4
REMEDIOS,38230,60.2
AINHOA,38224,14.9
ARACELI,37759,53.4
TRINIDAD,37570,62.2
MARIA ASUNCION,37473,54.4
MARIA PAZ,36859,52.2
ELVIRA,36812,57.9
MARIA BEGOÑA,36570,50.6
SOLEDAD,36170,55.9
NATIVIDAD,36165,60.5
GEMA,35126,29.2
BELEN,34919,28.7
BLANCA,34874,28.8
DANIELA,34581,16.0
MARIA ESTHER,34452,46.6
MARIA LOURDES,34421,48.2
FELISA,33941,68.5
ASCENSION,33697,61.8
TAMARA,33099,22.5
VANESSA,33093,27.1
NIEVES,32043,57.8
MARIA CRUZ,32041,54.3
GEMMA,31397,31.2
PALOMA,31384,33.2
RAFAELA,31371,60.9
REBECA,30559,23.9
ALMUDENA,30393,28.7
ADELA,30286,57.8
ADRIANA,30056,19.4
MARIA INMACULADA,28743,41.9
MARIA AMPARO,28532,47.7
AMALIA,28367,58.1
RAMONA,28304,65.2
NOEMI,28283,24.5
MIREIA,28095,20.5
MARIA EUGENIA,27999,42.8
AMELIA,27734,60.0
TANIA,27089,20.2
JOAQUINA,26536,65.1
JESSICA,26478,21.9
JUANA MARIA,25767,46.3
LEONOR,25054,59.0
PETRA,25023,67.5
MARTINA,24627,29.2
LAIA,24501,13.3
CARMEN MARIA,24127,30.4
MARIA ROCIO,23946,34.5
JULIANA,23651,64.4
DIANA,23609,23.5
MARIANA,23493,44.9
GUADALUPE,23134,51.7
BARBARA,22842,36.2
AGUSTINA,22753,63.1
ROSALIA,21808,57.1
LETICIA,21781,25.3
CECILIA,21688,47.0
ELISABET,20854,28.2
ADORACION,20637,60.7
MARIA ENCARNACION,20370,53.4
ARIADNA,20301,10.8
MARIA MAGDALENA,20025,48.2
CARLOTA,19806,17.4
JENNIFER,19639,19.9
MARIA FRANCISCA,19506,53.2
JUDITH,19438,19.5
ESTRELLA,19381,48.1
ESTER,19105,31.9
SHEILA,18641,18.5
JUDIT,18043,19.9
LEIRE,18016,15.6
EUGENIA,17877,59.0
VALENTINA,17580,47.6
MARIA GLORIA,17427,53.8
LARA,17407,15.4
EMMA,17369,20.7
MARIA MILAGROS,17324,55.0
RUTH,17296,27.2
SORAYA,17292,23.6
GABRIELA,17278,32.2
MARIA CONSUELO,17226,53.3
MARIA MONTSERRAT,17042,47.7
AITANA,17022,5.9
EULALIA,16883,59.8
MARIA YOLANDA,16810,43.4
HERMINIA,16802,64.4
BERTA,16727,26.5
ALEXANDRA,16611,21.6
ENRIQUETA,16561,66.5
AINARA,16092,12.7
AROA,15884,12.8
AIDA,15719,24.1
ELISABETH,15186,29.4
HELENA,15014,18.2
GREGORIA,15008,68.7
FLORENTINA,14696,60.8
PIEDAD,14562,61.9
AURELIA,14279,64.2
MARIA REYES,14179,44.4
MARIA REMEDIOS,14115,50.1
NADIA,13997,21.6
ERIKA,13824,16.9
MACARENA,13622,24.8
CANDIDA,13611,65.8
ESTELA,13393,22.5
MARIA ARANZAZU,13301,44.4
MIRIAN,13258,22.8
MARIA TRINIDAD,13139,45.6
ARANZAZU,12866,32.6
MARIA ESPERANZA,12783,49.3
NAIARA,12778,12.5
TATIANA,12672,25.9
AMAIA,12339,26.8
PAOLA,12316,14.4
YAIZA,12019,13.5
CANDELA,11977,7.7
SAGRARIO,11940,61.4
MAITE,11871,30.9
ITZIAR,11848,27.1
SARAY,11806,14.7
JOANA,11722,32.8
MERCE,11694,52.3
CARIDAD,11666,57.8
TOMASA,11615,69.4
AMANDA,11458,21.0
RITA,11400,52.1
TEODORA,11335,65.7
VALERIA,11262,12.7
ANA ROSA,11217,42.2
ELSA,11151,24.1
NOA,11120,4.6
FELICIDAD,11099,64.7
MARIA CARME,10991,52.4
BENITA,10986,67.9
MAR,10901,10.3
FILOMENA,10842,68.2
ANTONIA MARIA,10841,44.5
AFRICA,10814,29.7
AGUEDA,10777,53.9
ADELINA,10741,62.0
MARIA SOL,10691,45.7
MARIA MANUELA,10689,56.9
MERITXELL,10510,25.7
CONSOLACION,10481,56.9
CARME,10366,58.6
MARIA JULIA,10361,50.3
HORTENSIA,10315,65.1
DESIREE,10291,17.6
CANDELARIA,10282,58.6
MARIA INES,10234,47.3
ROSER,10183,48.6
NORA,10137,13.4
